metabolite,cell_type,spearman_r,p_value,n_slides
Bile acid,Microfold,0.9340659340659341,1.0279787693084372e-06,14
Urea,Absorptive,0.9147058823529413,7.011802190203182e-07,16
Urea,Microfold,0.9139075321874164,7.468092298951483e-07,16
Bile acid,Absorptive,0.9120879120879121,5.502099746344892e-06,14
Cholic acid,Microfold,0.8734557323716945,2.20655359239529e-06,18
Cholic acid,Absorptive,0.8658410732714137,3.434510604967862e-06,18
Cholic acid,Epithelial_stem,0.8293573093559632,2.0847341827497425e-05,18
Cholic acid,Transit_amplifying,0.8117907745501074,4.304008420425394e-05,18
Urea,Enteroendocrine,0.8088235294117646,0.0001484755922323442,16
Cholic acid,Secretory,0.8059855521155831,5.3816356061133154e-05,18
Cholesterol,Microfold,0.7749066889330828,0.00015894489093309634,18
Cholesterol,Absorptive,0.7688338493292053,0.00019261872998026163,18
Urea,Epithelial_stem,0.7259458424088008,0.0014533335465374917,16
Bile acid,Enteroendocrine,0.7098901098901099,0.004450741418764228,14
beta-Dhydroxybutyrate,Enteroendocrine,0.7090909090909092,0.014552051953727713,11
Propionate,Enteroendocrine,0.7090909090909092,0.014552051953727713,11
beta-Dhydroxybutyrate,Transit_amplifying,0.7000000000000001,0.016470978836514428,11
Propionate,Transit_amplifying,0.7000000000000001,0.016470978836514428,11
Urea,Melanocyte,0.6882352941176471,0.003203908614395742,16
Urea,Salivary/Submucosal_glands,0.6800186564604889,0.003750280805650636,16
L-Histidine,Monocyte,0.6780185758513931,0.0019851971899574553,18
Cholesterol,Melanocyte,0.6656346749226005,0.002568327960293709,18
Propionate,Epithelial_stem,0.6636363636363638,0.0259841339187655,11
beta-Dhydroxybutyrate,Epithelial_stem,0.6636363636363638,0.0259841339187655,11
Urea,Neuron,0.6588235294117648,0.005511422336343683,16
Fatty acid,Glia,0.6573787409700722,0.0030302895427941692,18
Cholic acid,Enteroendocrine,0.6470588235294118,0.0037015338197611434,18
Bile acid,Lymphatic_endothelia,0.6351648351648352,0.014657881327289134,14
Bile acid,Megakaryocyte/platelet,0.621978021978022,0.017550315290540023,14
Urea,Transit_amplifying,0.6195733833347864,0.010475333773845385,16
Cholesterol,Epithelial_stem,0.6191273196586341,0.0061483000596542605,18
Bile acid,Epithelial_stem,0.6182622003061836,0.01843855859412632,14
beta-Dhydroxybutyrate,Microfold,0.6181818181818182,0.04264556980532674,11
Propionate,Microfold,0.6181818181818182,0.04264556980532674,11
Bile acid,Transit_amplifying,0.6175824175824175,0.01860467428070843,14
Bile acid,Secretory,0.6131868131868132,0.01970633192603883,14
Citric acid,Macrophage,0.6119711042311662,0.006950274712161287,18
Citric acid,Monocyte,0.6078431372549019,0.007450054518883102,18
Fatty acid,Myofibroblast,0.6057791537667698,0.0077106082493158725,18
Urea,Intestinal_Cajal_cell,0.6014979837101493,0.013707770746151125,16
Cholesterol,Enteroendocrine,0.5913312693498451,0.00974749319593869,18
beta-Dhydroxybutyrate,Intestinal_Cajal_cell,0.5909090909090909,0.055575604288774685,11
Propionate,Intestinal_Cajal_cell,0.5909090909090909,0.055575604288774685,11
L-Serine,B_plasma,0.5810113519091847,0.011450854006919304,18
beta-Dhydroxybutyrate,Absorptive,0.5727272727272729,0.06554305260101852,11
Propionate,Secretory,0.5727272727272729,0.06554305260101852,11
beta-Dhydroxybutyrate,Secretory,0.5727272727272729,0.06554305260101852,11
Propionate,Absorptive,0.5727272727272729,0.06554305260101852,11
Urea,Lymphatic_endothelia,0.5529411764705882,0.026314499870666506,16
Urea,Secretory,0.5529411764705882,0.026314499870666506,16
L-Serine,Monocyte,0.5500515995872033,0.01802759336113747,18
L-Histidine,B_plasma,0.5500515995872033,0.01802759336113747,18
Citric acid,Lymphoid_stromal_cell,0.5479876160990712,0.018554135699121704,18
Fatty acid,Pericyte,0.5459236326109391,0.01909272950987518,18
L-Histidine,Lymphoid_stromal_cell,0.5459236326109391,0.01909272950987518,18
Bile acid,Neuron,0.5428571428571429,0.04486396643924868,14
Bile acid,Melanocyte,0.5428571428571429,0.04486396643924868,14
Citric acid,B_plasma,0.5376676986584108,0.021371414657806467,18
L-Leucine,B_plasma,0.5314757481940144,0.02321633430784389,18
Bile acid,Intestinal_Cajal_cell,0.5289215393743901,0.05180838619323793,14
Cholesterol,Smooth_muscle,0.5252837977296182,0.02518359155961345,18
L-Histidine,Macrophage,0.5252837977296182,0.02518359155961345,18
Fatty acid,Vascular_endothelia,0.5128998968008256,0.029506553722099392,18
Urea,Glia,0.5088235294117647,0.04413521823498383,16
Urea,Megakaryocyte/platelet,0.5058823529411764,0.04558161612394021,16
Bile acid,Salivary/Submucosal_glands,0.5011086366687488,0.06794546417172613,14
Fatty acid,Neuron,0.4984520123839009,0.03525363586497097,18
Fatty acid,Lymphatic_endothelia,0.49638802889576883,0.03614032375695943,18
Cholesterol,Secretory,0.4943240454076367,0.03704404980744616,18
Cholesterol,Neuron,0.48813209494324045,0.03985953090099978,18
Cholesterol,Glia,0.48813209494324045,0.03985953090099978,18
Cholic acid,Melanocyte,0.4654282765737873,0.051601612000717,18
Bile acid,Smooth_muscle,0.46373626373626364,0.0948763315088997,14
beta-Dhydroxybutyrate,Erythrocyte,0.46363636363636374,0.15090149929248592,11
Propionate,Erythrocyte,0.46363636363636374,0.15090149929248592,11
Cholesterol,Transit_amplifying,0.4622553837247108,0.053430516438075455,18
Fatty acid,Smooth_muscle,0.4613003095975232,0.053990476377347364,18
L-Cysteine,B_plasma,0.45098039215686275,0.06032623578568477,18
Cholesterol,Myofibroblast,0.43859649122807015,0.06864406996213136,18
L-Asparagine,Monocyte,0.43653250773993807,0.07010903657780523,18
Citric acid,Fibroblast,0.4220846233230134,0.0810190486949893,18
Cholesterol,Intestinal_Cajal_cell,0.4139059824421687,0.08772005985043137,18
L-Asparagine,B_plasma,0.4117647058823529,0.08953914742899166,18
Bile acid,Myofibroblast,0.410989010989011,0.14433266812460488,14
L-Serine,Macrophage,0.4097007223942208,0.09131835313137278,18
L-Histidine,DC,0.40763673890608876,0.09312305169960107,18
Citric acid,Pericyte,0.4055727554179567,0.09495342479222924,18
L-Histidine,Vascular_endothelia,0.40350877192982454,0.09680965248246642,18
Urea,Myofibroblast,0.39999999999999997,0.12475042359840005,16
Urea,Smooth_muscle,0.39999999999999997,0.12475042359840005,16
Fatty acid,Intestinal_Cajal_cell,0.39108409869849026,0.10853991552552576,18
L-Cysteine,Monocyte,0.38906088751289986,0.11054194705770325,18
L-Leucine,Monocyte,0.3869969040247678,0.11261128878276387,18
Cholesterol,Lymphatic_endothelia,0.38080495356037153,0.11898433684768547,18
Fatty acid,Megakaryocyte/platelet,0.37254901960784315,0.12787268607330352,18
L-Histidine,Mature_B,0.37254901960784315,0.12787268607330352,18
Bile acid,Glia,0.37142857142857144,0.19102081204361632,14
L-Leucine,Fibroblast,0.3663570691434469,0.13483747906980886,18
beta-Dhydroxybutyrate,Megakaryocyte/platelet,0.36363636363636365,0.27163754099382253,11
Propionate,Megakaryocyte/platelet,0.36363636363636365,0.27163754099382253,11
L-Cysteine,Macrophage,0.3622291021671827,0.13962500641700296,18
L-Leucine,Lymphoid_stromal_cell,0.36016511867905054,0.14206248632367482,18
L-Serine,Lymphoid_stromal_cell,0.36016511867905054,0.14206248632367482,18
L-Histidine,Cycling_T/NK,0.35831717656123846,0.14426970637374775,18
Bile acid,Mesoderm,0.357799864870911,0.209100611731318,14
Propionate,Melanocyte,0.3545454545454546,0.2846927409558867,11
beta-Dhydroxybutyrate,Melanocyte,0.3545454545454546,0.2846927409558867,11
L-Alanine,B_plasma,0.347781217750258,0.15730765714242592,18
beta-Dhydroxybutyrate,B_plasma,0.3454545454545455,0.2980892209030385,11
Propionate,B_plasma,0.3454545454545455,0.2980892209030385,11
Cholesterol,Megakaryocyte/platelet,0.34365325077399383,0.1626286535167655,18
Cholic acid,Salivary/Submucosal_glands,0.34308434629360496,0.16337145953992094,18
Fatty acid,Melanocyte,0.33952528379772956,0.16807083488832178,18
Citric acid,DC,0.3312693498452013,0.179322144399268,18
L-Histidine,Pericyte,0.32714138286893707,0.18513284759128776,18
L-Histidine,Conventional_CD8,0.32714138286893707,0.18513284759128776,18
Cholic acid,Erythrocyte,0.32714138286893707,0.18513284759128776,18
L-Asparagine,Vascular_endothelia,0.32507739938080493,0.188084781422369,18
L-Asparagine,Macrophage,0.32301341589267285,0.19106788357348967,18
L-Cysteine,Mature_B,0.32301341589267285,0.19106788357348967,18
L-Serine,Mature_B,0.32301341589267285,0.19106788357348967,18
Cholesterol,Erythrocyte,0.31475748194014447,0.20331354771785817,18
Fatty acid,Macrophage,0.31475748194014447,0.20331354771785817,18
Fatty acid,Fibroblast,0.3106295149638803,0.20962534083657888,18
Citric acid,Cycling_epithelia,0.30980654342679387,0.2108988185148904,18
beta-Dhydroxybutyrate,Treg,0.3090909090909091,0.35502843970150694,11
Propionate,Treg,0.3090909090909091,0.35502843970150694,11
L-Histidine,Immature_B,0.30443756449948395,0.21933066080450497,18
Urea,Erythrocyte,0.3029411764705882,0.25406688060961136,16
L-Leucine,Macrophage,0.3003095975232198,0.2259599242270975,18
L-Histidine,Fibroblast,0.29205366357069146,0.23960176390544208,18
Propionate,Conventional_CD4,0.29090909090909095,0.3854569696913654,11
beta-Dhydroxybutyrate,Conventional_CD4,0.29090909090909095,0.3854569696913654,11
Urea,Mesoderm,0.2829707263266958,0.28825054611395196,16
L-Serine,DC,0.281733746130031,0.2573753757323143,18
L-Asparagine,Mature_B,0.281733746130031,0.2573753757323143,18
L-Histidine,NK,0.2763445342486484,0.26697629065948075,18
beta-Dhydroxybutyrate,Basal,0.2733492285469231,0.41603731505358743,11
Propionate,Basal,0.2733492285469231,0.41603731505358743,11
L-Asparagine,Pericyte,0.2693498452012384,0.27976422005657137,18
L-Alanine,Pericyte,0.2693498452012384,0.27976422005657137,18
L-Cysteine,Immature_B,0.26109391124871,0.29533260163380953,18
Cholesterol,Salivary/Submucosal_glands,0.2596595812374093,0.2980896487316146,18
Citric acid,Mature_B,0.25696594427244585,0.30330908061762435,18
L-Serine,Pericyte,0.2549019607843137,0.30734528041254605,18
L-Leucine,Cycling_epithelia,0.25468082395583413,0.30777961601292747,18
L-Leucine,Pericyte,0.2528379772961816,0.31141340050989863,18
Bile acid,Erythrocyte,0.2527472527472528,0.38331496447851127,14
L-Histidine,Cycling_endothelia,0.25197129539842417,0.3131311394050547,18
Propionate,Salivary/Submucosal_glands,0.24545454545454545,0.4669223669820161,11
beta-Dhydroxybutyrate,Salivary/Submucosal_glands,0.24545454545454545,0.4669223669820161,11
Fatty acid,Granulocyte,0.2425180598555212,0.3322310909053101,18
L-Serine,Cycling_T/NK,0.2414506512828038,0.33442950382696174,18
L-Alanine,Cycling_epithelia,0.2392456225039654,0.33899764963175644,18
beta-Dhydroxybutyrate,Mature_B,0.23636363636363636,0.4840911622253965,11
Propionate,Mature_B,0.23636363636363636,0.4840911622253965,11
L-Histidine,Unconventional_T/ILC,0.2349605750339736,0.34797762302544893,18
Citric acid,Immature_B,0.23219814241486067,0.3538383254251315,18
L-Serine,Fibroblast,0.2280701754385965,0.36270020849471035,18
L-Leucine,Keratinocyte,0.2271498712218525,0.3646928506703844,18
L-Serine,Keratinocyte,0.2271498712218525,0.3646928506703844,18
L-Histidine,Keratinocyte,0.2271498712218525,0.3646928506703844,18
L-Cysteine,Lymphoid_stromal_cell,0.2239422084623323,0.3716861637562172,18
Cholic acid,Intestinal_Cajal_cell,0.21991997062090168,0.380560546494381,18
L-Serine,Immature_B,0.2198142414860681,0.3807953913501374,18
L-Cysteine,Vascular_endothelia,0.2198142414860681,0.3807953913501374,18
Fatty acid,Erythrocyte,0.21775025799793604,0.3853959643781131,18
L-Asparagine,Immature_B,0.21568627450980388,0.3900270258208053,18
L-Alanine,Monocyte,0.21568627450980388,0.3900270258208053,18
L-Serine,Conventional_CD8,0.20743034055727552,0.4088537259590215,18
L-Serine,Vascular_endothelia,0.20123839009287925,0.42328766928815764,18
beta-Dhydroxybutyrate,Conventional_CD8,0.20000000000000004,0.5554454421055853,11
Propionate,Conventional_CD8,0.20000000000000004,0.5554454421055853,11
L-Histidine,Conventional_CD4,0.19711042311661509,0.4330576703920279,18
Citric acid,Keratinocyte,0.19538065846355143,0.43718635110691806,18
L-Histidine,Granulocyte,0.19504643962848298,0.43798642970216684,18
L-Cysteine,DC,0.19091847265221878,0.4479306707266413,18
L-Leucine,DC,0.1826625386996904,0.46816133789331493,18
Urea,Neuron_progenitor,0.18160394827224458,0.5008695033544177,16
Urea,Mesothelium,0.17522364226377712,0.5162792853281447,16
Propionate,Neuron,0.17272727272727276,0.6115423848512369,11
beta-Dhydroxybutyrate,Neuron,0.17272727272727276,0.6115423848512369,11
L-Cysteine,Fibroblast,0.15995872033023736,0.5260613631447345,18
L-Cysteine,Cycling_T/NK,0.15986458646578333,0.5263080883904153,18
L-Serine,Cycling_epithelia,0.15986458646578333,0.5263080883904153,18
L-Cysteine,Conventional_CD8,0.15170278637770898,0.5479006675946313,18
Citric acid,Cycling_T/NK,0.15104447135042975,0.549659327641811,18
L-Asparagine,Cycling_T/NK,0.14883944257159137,0.5555681843042668,18
L-Asparagine,Lymphoid_stromal_cell,0.1475748194014448,0.5589695952802587,18
Citric acid,Conventional_CD8,0.14344685242518057,0.5701354475609234,18
L-Cysteine,Pericyte,0.14344685242518057,0.5701354475609234,18
Cholic acid,Megakaryocyte/platelet,0.13725490196078433,0.5870615369663565,18
L-Histidine,Treg,0.13519091847265222,0.5927498112228585,18
L-Asparagine,Fibroblast,0.1331269349845201,0.5984607651208831,18
Citric acid,Cycling_endothelia,0.1328962528472701,0.599100449965066,18
L-Alanine,Mature_B,0.13106295149638802,0.6041941281040611,18
L-Alanine,Vascular_endothelia,0.13106295149638802,0.6041941281040611,18
Fatty acid,Myoblast/myocyte,0.1271977901524372,0.614990151075433,18
L-Alanine,Fibroblast,0.12693498452012383,0.6157269826949076,18
Propionate,Mesothelium,0.1263507945427984,0.7112426752781013,11
beta-Dhydroxybutyrate,Mesothelium,0.1263507945427984,0.7112426752781013,11
Citric acid,Unconventional_T/ILC,0.12439089266504484,0.6228778847223165,18
L-Cysteine,Keratinocyte,0.12231146911945903,0.6287466810541689,18
L-Alanine,Macrophage,0.11867905056759545,0.6390493358496443,18
L-Cysteine,Cycling_epithelia,0.11796903966785391,0.6410705862768955,18
Cholic acid,Neuron,0.11661506707946334,0.6449317151979074,18
L-Serine,NK,0.1157518615154716,0.6473978489072444,18
Citric acid,Erythrocyte,0.11455108359133126,0.6508342238705321,18
L-Leucine,Mature_B,0.11248710010319916,0.6567565630509025,18
Citric acid,Vascular_endothelia,0.11248710010319916,0.6567565630509025,18
Propionate,DC,0.10909090909090911,0.7495085962341481,11
beta-Dhydroxybutyrate,DC,0.10909090909090911,0.7495085962341481,11
L-Asparagine,Conventional_CD8,0.10629514963880288,0.6746395315456968,18
L-Asparagine,DC,0.10629514963880288,0.6746395315456968,18
L-Asparagine,Granulocyte,0.10629514963880288,0.6746395315456968,18
Cholic acid,Smooth_muscle,0.1042311661506708,0.6806381463141873,18
Cholic acid,Glia,0.09803921568627451,0.6987424830235278,18
L-Serine,Conventional_CD4,0.08359133126934985,0.7415774315720881,18
Propionate,Immature_B,0.08181818181818183,0.8109903943000459,11
beta-Dhydroxybutyrate,Immature_B,0.08181818181818183,0.8109903943000459,11
L-Alanine,Immature_B,0.08152734778121776,0.7477594697936525,18
L-Histidine,Cycling_epithelia,0.08048355042760126,0.7508914590994547,18
Fatty acid,Mesothelium,0.07966916385199257,0.7533376634302048,18
L-Serine,Unconventional_T/ILC,0.07761141166280576,0.759528533102002,18
Cholic acid,Cycling_epithelia,0.07386846409108609,0.7708249153347235,18
L-Leucine,Immature_B,0.07327141382868937,0.7726309674360764,18
L-Histidine,Myoblast/myocyte,0.0713548578903916,0.7784359437866889,18
Cholic acid,Mesoderm,0.06986824073456394,0.7829464114944465,18
Citric acid,NK,0.06986824073456394,0.7829464114944465,18
beta-Dhydroxybutyrate,Mesoderm,0.0642228862990377,0.8511929589410808,11
Propionate,Mesoderm,0.0642228862990377,0.8511929589410808,11
L-Alanine,Cycling_endothelia,0.05847435125279886,0.8177252066509925,18
L-Cysteine,Granulocyte,0.05675954592363261,0.8229893024799763,18
L-Serine,Cycling_endothelia,0.05209533111612989,0.837343295556487,18
L-Alanine,Epithelial_stem,0.05045519752735897,0.8424026353552736,18
Bile acid,Mesothelium,0.04955275531112104,0.8664064941101015,14
L-Alanine,DC,0.04850361197110423,0.848430360162973,18
L-Asparagine,Cycling_endothelia,0.047842651025017245,0.8504736556295389,18
Cholesterol,Pericyte,0.04643962848297213,0.8548139516870751,18
L-Serine,Granulocyte,0.04643962848297213,0.8548139516870751,18
Cholesterol,Mesothelium,0.03787550412635713,0.8813890916269566,18
L-Alanine,Lymphoid_stromal_cell,0.03611971104231166,0.8868532969155285,18
Citric acid,Myoblast/myocyte,0.0341262363823612,0.8930630698448239,18
L-Leucine,Conventional_CD8,0.034055727554179564,0.8932828188388959,18
Cholic acid,Lymphatic_endothelia,0.03199174406604747,0.8997186782888819,18
L-Cysteine,Cycling_endothelia,0.03083193066056667,0.903337817310029,18
L-Serine,Treg,0.029927760577915376,0.9061604960497216,18
beta-Dhydroxybutyrate,Cycling_epithelia,0.02974089582579659,0.9308283725322203,11
Propionate,Cycling_epithelia,0.02974089582579659,0.9308283725322203,11
L-Asparagine,Conventional_CD4,0.027863777089783277,0.9126078919940869,18
L-Cysteine,Unconventional_T/ILC,0.024452910523897704,0.9232738409906551,18
L-Cysteine,Conventional_CD4,0.023735810113519093,0.9255178937138382,18
L-Histidine,Basal,0.015487869900826864,0.9513629472278686,18
L-Cysteine,NK,0.011470905195226916,0.9639684486106119,18
L-Cysteine,Treg,0.011351909184726523,0.9643420040748253,18
Citric acid,Treg,0.009287925696594427,0.9708223763257616,18
L-Asparagine,Cycling_epithelia,0.005512571947095977,0.9826802317740951,18
Citric acid,Conventional_CD4,0.005159958720330237,0.9837879533049655,18
L-Asparagine,Keratinocyte,0.004765381913745157,0.9850275352480872,18
L-Leucine,Vascular_endothelia,-0.005159958720330237,0.9837879533049655,18
L-Asparagine,Treg,-0.005159958720330237,0.9837879533049655,18
L-Asparagine,NK,-0.005214047816012235,0.9836180325125357,18
L-Alanine,Secretory,-0.013415892672858616,0.9578637574487228,18
L-Alanine,Cycling_T/NK,-0.01433268706244954,0.9549869878690654,18
L-Leucine,Cycling_T/NK,-0.01653771584128793,0.9480701552648362,18
Urea,Cycling_epithelia,-0.017278860521568132,0.9493579604420935,16
Propionate,Lymphatic_endothelia,-0.018181818181818184,0.9576852410216187,11
beta-Dhydroxybutyrate,Lymphatic_endothelia,-0.018181818181818184,0.9576852410216187,11
Fatty acid,Epithelial_stem,-0.023125298866706195,0.9274288147868897,18
L-Alanine,Keratinocyte,-0.023826909568725785,0.9252327823193632,18
Cholic acid,Mesothelium,-0.027427089194948264,0.9139726806008717,18
L-Asparagine,Unconventional_T/ILC,-0.028705590615010344,0.9099776165726623,18
Cholesterol,Vascular_endothelia,-0.040247678018575844,0.8740147776078565,18
Fatty acid,Enteroendocrine,-0.04231166150670795,0.8676065335789527,18
Urea,Basal,-0.042678451583631365,0.8752951396111205,16
beta-Dhydroxybutyrate,Macrophage,-0.045454545454545456,0.8944269969053026,11
Propionate,Macrophage,-0.045454545454545456,0.8944269969053026,11
L-Leucine,Erythrocyte,-0.054695562435500514,0.8293348337875046,18
Cholesterol,Mesoderm,-0.05526890684972968,0.8275711125714218,18
Propionate,Glia,-0.06363636363636364,0.8525390725425217,11
beta-Dhydroxybutyrate,Glia,-0.06363636363636364,0.8525390725425217,11
Cholic acid,Keratinocyte,-0.06512688615451714,0.7973753273505416,18
L-Leucine,Secretory,-0.06707946336429307,0.7914253837974394,18
Cholic acid,Myofibroblast,-0.07120743034055728,0.7788829476841139,18
L-Alanine,Transit_amplifying,-0.07342311464083774,0.7721719730635965,18
L-Leucine,NK,-0.07403947898737373,0.7703078085610952,18
L-Alanine,Mesoderm,-0.07403947898737373,0.7703078085610952,18
L-Asparagine,Smooth_muscle,-0.07533539731682146,0.766392281347839,18
Fatty acid,Microfold,-0.07572715969493313,0.7652096533465504,18
Cholic acid,Neuron_progenitor,-0.07705706011914036,0.7611987307189276,18
L-Alanine,Erythrocyte,-0.07946336429308565,0.7539561864360347,18
